SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate
63516,8,2014-01-03 00:00:00.000,2014-01-15 00:00:00.000,2014-01-10 00:00:00.000,5,1,SO63516,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,922359Vi58449,10800,114.96,9.1968,2.874,127.0308,NULL,42086555-c49c-41f7-b4ab-d6412faa31fa,2014-01-10 00:00:00.000
63636,8,2014-01-05 00:00:00.000,2014-01-17 00:00:00.000,2014-01-12 00:00:00.000,5,1,SO63636,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,921029Vi58449,10822,25.48,2.0384,0.637,28.1554,NULL,c47eefae-6c7e-48ab-93fa-e89ef14304fb,2014-01-12 00:00:00.000
64475,8,2014-01-18 00:00:00.000,2014-01-30 00:00:00.000,2014-01-25 00:00:00.000,5,1,SO64475,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,921043Vi58449,10965,31.27,2.5016,0.7818,34.5534,NULL,6e560a23-1047-4b20-9887-9cf62070cadb,2014-01-25 00:00:00.000
66157,8,2014-02-11 00:00:00.000,2014-02-23 00:00:00.000,2014-02-18 00:00:00.000,5,1,SO66157,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,916856Vi58449,11229,34.99,2.7992,0.8748,38.664,NULL,f8e66a53-f81e-4faa-82db-749eef1ebfb5,2014-02-18 00:00:00.000
68151,8,2014-03-13 00:00:00.000,2014-03-25 00:00:00.000,2014-03-20 00:00:00.000,5,1,SO68151,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,916646Vi58449,11559,144.49,11.5592,3.6123,159.6615,NULL,940324e6-c911-4049-8fa4-588b3d2d95a7,2014-03-20 00:00:00.000
69332,8,2014-03-30 00:00:00.000,2014-04-11 00:00:00.000,2014-04-06 00:00:00.000,5,1,SO69332,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,922824Vi58449,11746,71.58,5.7264,1.7895,79.0959,NULL,87291387-3d9e-4bb1-9f23-a9bb44cc28db,2014-04-06 00:00:00.000
70203,8,2014-04-08 00:00:00.000,2014-04-20 00:00:00.000,2014-04-15 00:00:00.000,5,1,SO70203,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,928928Vi58449,11845,35.00,2.80,0.875,38.675,NULL,357d8c43-340e-4c86-a790-f0fb928d86da,2014-04-15 00:00:00.000
70264,8,2014-04-09 00:00:00.000,2014-04-21 00:00:00.000,2014-04-16 00:00:00.000,5,1,SO70264,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,922091Vi58449,11856,34.89,2.7912,0.8723,38.5535,NULL,4c70e7b1-091f-46ae-a347-0bbbab05379c,2014-04-16 00:00:00.000
73198,8,2014-05-18 00:00:00.000,2014-05-30 00:00:00.000,2014-05-25 00:00:00.000,5,1,SO73198,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,921836Vi58449,12285,27.28,2.1824,0.682,30.1444,NULL,4ee57bfd-df88-4bd4-9e7d-b38d4a8bde6e,2014-05-25 00:00:00.000
73431,8,2014-05-21 00:00:00.000,2014-06-02 00:00:00.000,2014-05-28 00:00:00.000,5,1,SO73431,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,921301Vi58449,12318,7.28,0.5824,0.182,8.0444,NULL,b768e4cd-378b-4519-8aeb-1c2e0bfb07ac,2014-05-28 00:00:00.000
73594,8,2014-05-23 00:00:00.000,2014-06-04 00:00:00.000,2014-05-30 00:00:00.000,5,1,SO73594,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,922472Vi58449,12340,27.28,2.1824,0.682,30.1444,NULL,95d6003c-6fb8-456c-8691-09ed66f26bb2,2014-05-30 00:00:00.000
74373,8,2014-06-07 00:00:00.000,2014-06-19 00:00:00.000,2014-06-14 00:00:00.000,5,1,SO74373,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,920477Vi58449,NULL,34.99,2.7992,0.8748,38.664,NULL,b24397df-ea75-45b2-b760-56e2a53114ed,2014-06-14 00:00:00.000
74480,8,2014-06-10 00:00:00.000,2014-06-22 00:00:00.000,2014-06-17 00:00:00.000,5,1,SO74480,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,921379Vi58449,NULL,28.98,2.3184,0.7245,32.0229,NULL,b75c454f-f34e-4fbc-9874-83011a04b6e6,2014-06-17 00:00:00.000
